0,1,2,3,4,template
0,,,,,Nada que informar.
0.75,,,,,Riesgo durante todo el período. {B0_val}.
1,,,,,Riesgo durante todo el período. {B0_val}.
0,0.75,,,,Riesgo de {B1_start}. {B1_val}.
0,1,,,,Riesgo de {B1_start}. {B1_val}.
0.75,0,,,,Riesgo hasta {B0_stop}. {B0_val}.
0.75,1,,,,Riesgo durante todo el período. {B0_val}. El riesgo máximo se alcanza desde {B1_start}. {B1_val}.
1,0,,,,Riesgo hasta {B0_stop}. {B0_val}.
1,0.75,,,,"Riesgo durante todo el período, máximo {B0_period}. {B0_val}. Mejora entonces. {B1_val}."
0,0.75,0,,,Riesgo {B1_period}. {B1_val}.
0,0.75,1,,,Riesgo de {B1_start}. {B1_val}. Riesgo máximo de {B2_start}. {B2_val}.
0,1,0,,,Riesgo {B1_period}. {B1_val}.
0,1,0.75,,,Riesgo máximo {B1_period}. {B1_val}. Mejora entonces. {B2_val}.
0.75,0,0.75,,,Riesgo hasta {B0_stop}. Nuevo riesgo de {B2_start}. {level_int_val}.
0.75,0,1,,,Riesgo hasta {B0_stop}. {B0_val}. Nuevo riesgo de {B2_start}. {B2_val}.
0.75,1,0,,,El riesgo se vuelve máximo {B1_period}. {B1_val}.
0.75,1,0.75,,,"Riesgo durante todo el período, máximo {B1_period}. {B1_val}."
1,0,0.75,,,Riesgo hasta {B0_stop}. {B0_val}. Nuevo riesgo de {B2_start}. {B2_val}.
1,0,1,,,Riesgo hasta {B0_stop}. Nuevo riesgo de {B2_start}. {level_max_val}.
1,0.75,0,,,Riesgo máximo hasta {B0_stop}. {B0_val}. Fin del riesgo {B1_stop}.
1,0.75,1,,,Riesgo durante todo el período. {level_max_val}.
0,0.75,0,0.75,,Riesgo {B1_period}. Nuevo riesgo de {B3_start}. {level_int_val}.
0,0.75,0,1,,Riesgo {B1_period}. {B1_val}. Nuevo riesgo de {B3_start}. {B3_val}.
0,0.75,1,0,,"Riesgo de {B1_start}. {B1_val}. Riesgo máximo {B2_period}, luego mejora. {B2_val}."
0,0.75,1,0.75,,Riesgo de {B1_start}. {level_int_val}. Riesgo máximo {B2_period}. {B2_val}.
0,1,0,0.75,,Riesgo {B1_period}. {B1_val}. Nuevo riesgo de {B3_start}. {B3_val}.
0,1,0,1,,Riesgo {B1_period}. Nuevo riesgo de {B3_start}. {level_max_val}.
0,1,0.75,0,,Riesgo de {B1_start}. {B1_val}. Mejora {B2_period}. {B2_val}.
0,1,0.75,1,,Riesgo de {B1_start}. {level_max_val}.
0.75,0,0.75,0,,Riesgo hasta {B0_stop}. Nuevo riesgo {B2_period}. {level_int_val}.
0.75,0,0.75,1,,Riesgo hasta {B0_stop}. {B0_val}. Nuevo riesgo de {B2_start}. {B3_val}.
0.75,0,1,0,,Riesgo hasta {B0_stop}. {B0_val}. Nuevo riesgo {B2_period}. {B2_val}.
0.75,0,1,0.75,,Riesgo hasta {B0_stop}. {B0_val}. Nuevo riesgo de {B2_start}. {B2_val}.
0.75,1,0,0.75,,Riesgo hasta {B1_stop}. {B1_val}. Nuevo riesgo de {B3_start}. {B3_val}.
