,0
0,ANLN
1,ANP32E
2,ATAD2
3,AURKA
4,AURKB
5,BIRC5
6,BLM
7,BRIP1
8,BUB1
9,CASP8AP2
10,CBX5
11,CCNB2
12,CCNE2
13,CDC20
14,CDC25C
15,CDC45
16,CDC6
17,CDCA2
18,CDCA3
19,CDCA7
20,CDCA8
21,CDK1
22,CENPA
23,CENPE
24,CENPF
25,CENPU
26,CHAF1B
27,CKAP2
28,CKAP2L
29,CKAP5
30,CKS1B
31,CKS2
32,CLSPN
33,CTCF
34,DLGAP5
35,DSCC1
36,DTL
37,E2F8
38,ECT2
39,ESCO2
40,EXO1
41,FEN1
42,G2E3
43,GAS2L3
44,GINS2
45,GMNN
46,GTSE1
47,HELLS
48,HJURP
49,HMGB2
50,HMMR
51,JPT1
52,KIF11
53,KIF20B
54,KIF23
55,KIF2C
56,LBR
57,MCM2
58,MCM4
59,MCM5
60,MCM6
61,MKI67
62,MSH2
63,NASP
64,NCAPD2
65,NDC80
66,NEK2
67,NUF2
68,NUSAP1
69,PCNA
70,PIMREG
71,POLA1
72,POLD3
73,PRIM1
74,PSRC1
75,RAD51
76,RAD51AP1
77,RANGAP1
78,RFC2
79,RPA2
80,RRM1
81,RRM2
82,SLBP
83,SMC4
84,TACC3
85,TIPIN
86,TMPO
87,TOP2A
88,TPX2
89,TTK
90,TUBB4B
91,TYMS
92,UBE2C
93,UBR7
94,UHRF1
95,UNG
96,USP1
97,WDR76
