0,"(2, 3)",,,,Cielo despejado nuboso
0,4,,,,Cielo despejado nuboso
0,5,,,,Cielo despejado variable
1,4,,,,Parcialmente nublado nuboso
1,5,,,,Parcialmente nublado variable
1,6,,,,Parcialmente nublado nuboso
2,0,,,,Cielo nublado despejándose completamente
2,5,,,,Cielo nublado despejándose completamente
2,6,,,,Cielo nublado nuboso
3,0,,,,Muy nublado despejándose completamente
3,5,,,,Muy nublado nuboso
3,6,,,,Cielo nublado despejándose
4,"(0, 1)",,,,Cielo nublado poco nuboso
4,1,,,,Cielo nublado variable
4,5,,,,Cielo variable despejándose
5,"(0, 1)",,,,Cielo variable nuboso
5,"(2, 3, 4)",,,,Cielo nublado poco nuboso
5,6,,,,Cielo nublado nuboso
6,1,,,,Cielo nublado nuboso
6,2,,,,Cielo nublado muy nuboso
6,3,,,,Cielo nublado nuboso
6,4,,,,Cielo nublado variable
6,5,,,,Overcast sky becoming variable
